LOAD_ZONE,PERIOD,ev_share,ice_miles_per_gallon,ev_miles_per_kwh,ev_extra_cost_per_vehicle_year,n_all_vehicles,vmt_per_vehicle
Oahu,2020,0.014492483277605,21.0,3.2258064516129,1000.0,643299.0,9011.0
Oahu,2021,0.017635656203414,21.0,3.2258064516129,973.333333333333,643299.0,9011.0
Oahu,2022,0.0214239412776951,21.0,3.2258064516129,946.666666666667,643299.0,9011.0
Oahu,2023,0.0259288449072671,21.0,3.2258064516129,920.0,643299.0,9011.0
Oahu,2024,0.0312545177281482,21.0,3.2258064516129,893.333333333333,643299.0,9011.0
Oahu,2025,0.0374880110182046,21.0,3.2258064516129,866.666666666667,643299.0,9011.0
Oahu,2026,0.0447008311842549,21.0,3.2258064516129,840.0,643299.0,9011.0
Oahu,2027,0.0529862474525843,21.0,3.2258064516129,813.333333333333,643299.0,9011.0
Oahu,2028,0.0624577373818396,21.0,3.2258064516129,786.666666666667,643299.0,9011.0
Oahu,2029,0.0732054612240964,21.0,3.2258064516129,760.0,643299.0,9011.0
Oahu,2030,0.0853118067959067,21.0,3.2258064516129,733.333333333333,643299.0,9011.0
Oahu,2031,0.0988622708880318,21.0,3.2258064516129,706.666666666667,643299.0,9011.0
Oahu,2032,0.113945459265443,21.0,3.2258064516129,680.0,643299.0,9011.0
Oahu,2033,0.130656195641529,21.0,3.2258064516129,653.333333333333,643299.0,9011.0
Oahu,2034,0.149079976807052,21.0,3.2258064516129,626.666666666667,643299.0,9011.0
Oahu,2035,0.169325616859345,21.0,3.2258064516129,600.0,643299.0,9011.0
Oahu,2036,0.189078484499432,21.0,3.2258064516129,573.333333333333,643299.0,9011.0
Oahu,2037,0.21195587122007,21.0,3.2258064516129,546.666666666667,643299.0,9011.0
Oahu,2038,0.239083225685101,21.0,3.2258064516129,520.0,643299.0,9011.0
Oahu,2039,0.270884922874122,21.0,3.2258064516129,493.333333333333,643299.0,9011.0
Oahu,2040,0.307814873021721,21.0,3.2258064516129,466.666666666667,643299.0,9011.0
Oahu,2041,0.351093348505127,21.0,3.2258064516129,440.0,643299.0,9011.0
Oahu,2042,0.395584323930241,21.0,3.2258064516129,413.333333333333,643299.0,9011.0
Oahu,2043,0.441808552477153,21.0,3.2258064516129,386.666666666667,643299.0,9011.0
Oahu,2044,0.491098229594636,21.0,3.2258064516129,360.0,643299.0,9011.0
Oahu,2045,0.544448227029733,21.0,3.2258064516129,333.333333333333,643299.0,9011.0
Oahu,2046,0.599602983993446,21.0,3.2258064516129,306.666666666667,643299.0,9011.0
Oahu,2047,0.655200769782014,21.0,3.2258064516129,280.0,643299.0,9011.0
Oahu,2048,0.705735591070404,21.0,3.2258064516129,253.333333333333,643299.0,9011.0
Oahu,2049,0.748790220410727,21.0,3.2258064516129,226.666666666667,643299.0,9011.0
Oahu,2050,0.783567205918243,21.0,3.2258064516129,200.0,643299.0,9011.0
