LOAD_ZONE,PERIOD,ev_share
Oahu,2020,0.014492483277605
Oahu,2021,0.017635656203414
Oahu,2022,0.0214239412776951
Oahu,2023,0.0259288449072671
Oahu,2024,0.0312545177281482
Oahu,2025,0.0374880110182046
Oahu,2026,0.0447008311842549
Oahu,2027,0.0529862474525843
Oahu,2028,0.0624577373818396
Oahu,2029,0.0732054612240964
Oahu,2030,0.0853118067959067
Oahu,2031,0.0988622708880318
Oahu,2032,0.113945459265443
Oahu,2033,0.130656195641529
Oahu,2034,0.149079976807052
Oahu,2035,0.169325616859345
Oahu,2036,0.189078484499432
Oahu,2037,0.21195587122007
Oahu,2038,0.239083225685101
Oahu,2039,0.270884922874122
Oahu,2040,0.307814873021721
Oahu,2041,0.351093348505127
Oahu,2042,0.395584323930241
Oahu,2043,0.441808552477153
Oahu,2044,0.491098229594636
Oahu,2045,0.544448227029733
Oahu,2046,0.599602983993446
Oahu,2047,0.655200769782014
Oahu,2048,0.705735591070404
Oahu,2049,0.748790220410727
Oahu,2050,0.783567205918243
