PERIOD,EnergyCostReal_per_MWh,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,SystemDemand_MWh
2020,152.10989136507376,1169273808.1843753,1204352022.429907,7917644.353182678
2021,145.8183180492952,1089932884.1874049,1156309796.8344185,7929797.931447253
2022,154.53333548487043,1130464236.3765993,1235288793.6230927,7993671.978587646
2023,158.37454281989594,1133644131.7694843,1275926457.7113562,8056386.051654426
2024,160.15651656759638,1121700896.5454333,1300358768.484188,8119299.772203479
2025,149.0506514382935,1026532717.3542848,1225733748.619039,8223605.44412977
2026,147.11671641984356,986327716.3068339,1213058681.0299711,8245552.990512165
2027,148.45549233107516,968939048.4340117,1227422997.244393,8267952.7579018725
2028,145.83362107992906,926483082.4910913,1208850281.3058345,8289242.716144882
2029,146.97138825444898,913296346.3877268,1227393919.1056097,8351243.9644418685
2030,148.92067737231824,906429419.2250023,1254710303.512337,8425359.900663236
2031,149.14556922112223,884689872.3535688,1261356216.9906583,8457215.481343465
2032,152.03914866372887,876457940.9690499,1287108034.7353919,8465635.634294039
2033,153.25423736728962,863820495.4123254,1306606005.4799364,8525741.46024113
2034,154.34992986896248,846832759.3811024,1319337846.425874,8547706.160579044
2035,156.57462992348306,836574466.2372866,1342456432.756606,8573907.74873717
2036,157.57273993288015,820947101.4011909,1356900472.7713165,8611264.063500471
2037,154.6611881961618,785897823.7170295,1337938437.852362,8650770.458037678
2038,155.92471994805544,772485309.0917062,1354557665.4054432,8687254.117606873
2039,156.3487003676075,756289247.3902129,1365942506.3711405,8736513.339474728
2040,170.58425910070014,806807136.1088696,1500898935.719816,8798578.155055901
2041,170.0144925286704,782332766.97872,1499030481.671414,8817074.70566737
2042,166.78433827997736,748056962.3471606,1476355130.4427,8851881.091882702
2043,164.24546115734586,719308744.4249063,1462206576.392383,8902569.155269384
2044,162.1608634667246,693801605.385548,1452666488.9149246,8958181.757665664
2045,160.4853741549211,669777753.4105164,1444436854.2002535,9000426.747959584
2046,160.50219142371398,653465712.069534,1451536201.7371309,9043715.78270344
2047,160.49277887785536,637427987.257872,1458389133.3367853,9086945.490841722
2048,160.77496505005234,623432008.8009686,1469158367.2825,9137979.702406544
2049,162.90555228674717,616440110.6470771,1496261946.309654,9184843.15179096
2050,162.6072447353803,600645321.0676252,1501661561.712806,9234899.491449734
